WkrNr;Wahlkreis;Wahlb. insges.;Wählerinnen /Wähler;Gültige Stimmen;Dr. Weyland,Bernadette;Feldmann,Peter;Dr. Eskandari-Grünberg,Nargess;Wißler,Janine;Wehnemann,Nico;Weingärtner,Michael;Yang,Ming;Stein,Volker;Dr. Herrschaft,Felicia;Schloberg,Karsten;Wünsch,Juli;Fischer,Hein;
;;;;;;;;;;;;;;;;;
;Stadtteil Altstadt;;;;;;;;;;;;;;;;
01001;Stadthaus;1.450;443;440;108;178;33;61;10;6;2;36;0;4;2;0;
 ; in %; ;34,8;99,3;24,5;40,5;7,5;13,9;2,3;1,4;0,5;8,2;0,0;0,9;0,5;0,0;
01002;Stadthaus;1.322;312;312;74;137;23;21;4;8;5;33;0;7;0;0;
 ; in %; ;26,2;100;23,7;43,9;7,4;6,7;1,3;2,6;1,6;10,6;0,0;2,2;0,0;0,0;
90100;Briefwahl Altstadt;0;280;278;87;112;31;22;3;2;1;16;1;2;0;1;
 ; in %; ;0,0;99,3;31,3;40,3;11,2;7,9;1,1;0,7;0,4;5,8;0,4;0,7;0,0;0,4;
;Stadtteil Altstadt ges.;2.772;1.035;1.030;269;427;87;104;17;16;8;85;1;13;2;1;
 ; in %; ;37,3;99,5;26,1;41,5;8,4;10,1;1,7;1,6;0,8;8,3;0,1;1,3;0,2;0,1;
;;;;;;;;;;;;;;;;;
;Stadtteil Bergen-Enkheim;;;;;;;;;;;;;;;;
68001;Schule am Landgraben;1.379;489;486;125;212;49;35;5;8;1;46;0;4;0;1;
 ; in %; ;39,9;99,4;25,7;43,6;10,1;7,2;1,0;1,6;0,2;9,5;0,0;0,8;0,0;0,2;
68002;Schule am Landgraben;1.320;367;367;124;130;28;35;3;5;1;36;0;3;2;0;
 ; in %; ;33,5;100;33,8;35,4;7,6;9,5;0,8;1,4;0,3;9,8;0,0;0,8;0,5;0,0;
68003;Saalbau Stadthalle Bergen;1.477;516;514;120;254;44;27;4;11;0;47;1;6;0;0;
 ; in %; ;39,4;99,6;23,3;49,4;8,6;5,3;0,8;2,1;0,0;9,1;0,2;1,2;0,0;0,0;
68004;Saalbau Stadthalle Bergen;1.357;468;465;146;205;35;30;5;5;2;30;1;4;0;2;
 ; in %; ;39,1;99,4;31,4;44,1;7,5;6,5;1,1;1,1;0,4;6,5;0,2;0,9;0,0;0,4;
68005;Ev. Kirche Bergen-Enkheim;1.356;480;476;198;158;33;23;8;6;1;44;0;2;1;2;
 ; in %; ;41,6;99,2;41,6;33,2;6,9;4,8;1,7;1,3;0,2;9,2;0,0;0,4;0,2;0,4;
68006;Schule am Ried;1.216;413;412;112;197;28;30;0;8;0;35;0;2;0;0;
 ; in %; ;39,0;99,8;27,2;47,8;6,8;7,3;0,0;1,9;0,0;8,5;0,0;0,5;0,0;0,0;
68007;Schule am Ried;1.281;363;359;85;179;30;23;0;4;2;30;3;1;2;0;
 ; in %; ;32,4;98,9;23,7;49,9;8,4;6,4;0,0;1,1;0,6;8,4;0,8;0,3;0,6;0,0;
68008;Saalbau Volkshaus Enkheim;1.491;417;413;79;230;22;32;7;7;3;27;1;5;0;0;
 ; in %; ;30,6;99,0;19,1;55,7;5,3;7,7;1,7;1,7;0,7;6,5;0,2;1,2;0,0;0,0;
68009;Saalbau Volkshaus Enkheim;1.231;321;321;84;144;11;16;2;14;1;44;1;2;2;0;
 ; in %; ;29,1;100;26,2;44,9;3,4;5,0;0,6;4,4;0,3;13,7;0,3;0,6;0,6;0,0;
68010;Frankfurter Volksbank;1.323;437;433;129;210;28;25;4;5;1;25;0;6;0;0;
 ; in %; ;37,0;99,1;29,8;48,5;6,5;5,8;0,9;1,2;0,2;5,8;0,0;1,4;0,0;0,0;
94601;Briefwahl Bergen-Enkheim;0;498;497;173;232;32;15;6;5;0;31;0;3;0;0;
 ; in %; ;0,0;99,8;34,8;46,7;6,4;3,0;1,2;1,0;0,0;6,2;0,0;0,6;0,0;0,0;
94602;Briefwahl Bergen-Enkheim;0;484;481;193;164;41;10;6;10;4;51;2;0;0;0;
 ; in %; ;0,0;99,4;40,1;34,1;8,5;2,1;1,2;2,1;0,8;10,6;0,4;0,0;0,0;0,0;
94603;Briefwahl Bergen-Enkheim;0;521;518;133;268;25;33;6;15;6;29;0;0;3;0;
 ; in %; ;0,0;99,4;25,7;51,7;4,8;6,4;1,2;2,9;1,2;5,6;0,0;0,0;0,6;0,0;
;Stadtteil Bergen-Enkheim ges.;13.431;5.774;5.742;1.701;2.583;406;334;56;103;22;475;9;38;10;5;
 ; in %; ;43,0;99,4;29,6;45,0;7,1;5,8;1,0;1,8;0,4;8,3;0,2;0,7;0,2;0,1;
;;;;;;;;;;;;;;;;;
;Stadtteil Berkersheim;;;;;;;;;;;;;;;;
50001;Berkersheimer Schule;1.202;445;441;107;228;26;32;6;7;1;33;1;0;0;0;
 ; in %; ;43,4;99,1;24,3;51,7;5,9;7,3;1,4;1,6;0,2;7,5;0,2;0,0;0,0;0,0;
50002;Berkersheimer Schule;1.405;395;393;86;187;40;38;2;8;0;28;1;2;0;1;
 ; in %; ;31,7;99,5;21,9;47,6;10,2;9,7;0,5;2,0;0,0;7,1;0,3;0,5;0,0;0,3;
93200;Briefwahl Berkersheim;0;297;295;111;100;21;28;2;10;1;18;0;3;1;0;
 ; in %; ;0,0;99,3;37,6;33,9;7,1;9,5;0,7;3,4;0,3;6,1;0,0;1,0;0,3;0,0;
;Stadtteil Berkersheim ges.;2.607;1.137;1.129;304;515;87;98;10;25;2;79;2;5;1;1;
 ; in %; ;43,6;99,3;26,9;45,6;7,7;8,7;0,9;2,2;0,2;7,0;0,2;0,4;0,1;0,1;
;;;;;;;;;;;;;;;;;
;Stadtteil Bockenheim;;;;;;;;;;;;;;;;
16301;Haus Kuhwald;1.715;399;396;50;228;39;26;5;6;1;32;1;3;5;0;
 ; in %; ;24,9;99,2;12,6;57,6;9,8;6,6;1,3;1,5;0,3;8,1;0,3;0,8;1,3;0,0;
16302;Residenz Rebstockpark;1.162;384;384;123;161;41;18;2;5;5;25;0;3;1;0;
 ; in %; ;36,9;100;32,0;41,9;10,7;4,7;0,5;1,3;1,3;6,5;0,0;0,8;0,3;0,0;
16303;Viktoria-Luise-Schule;1.093;319;319;99;134;27;15;4;3;3;25;0;7;1;1;
 ; in %; ;32,0;100;31,0;42,0;8,5;4,7;1,3;0,9;0,9;7,8;0,0;2,2;0,3;0,3;
34101;Bonifatiusschule;1.256;337;336;62;138;58;46;6;5;3;14;2;0;2;0;
 ; in %; ;29,7;99,7;18,5;41,1;17,3;13,7;1,8;1,5;0,9;4,2;0,6;0,0;0,6;0,0;
34102;Bonifatiusschule;1.296;416;414;57;186;50;96;9;2;1;6;1;5;1;0;
 ; in %; ;35,9;99,5;13,8;44,9;12,1;23,2;2,2;0,5;0,2;1,4;0,2;1,2;0,2;0,0;
34103;Bonifatiusschule;1.059;312;310;52;129;41;59;8;4;1;14;0;1;1;0;
 ; in %; ;33,3;99,4;16,8;41,6;13,2;19,0;2,6;1,3;0,3;4,5;0,0;0,3;0,3;0,0;
34201;Hessenkolleg;670;150;147;24;87;4;10;1;3;0;15;0;1;1;1;
 ; in %; ;23,2;98,0;16,3;59,2;2,7;6,8;0,7;2,0;0,0;10,2;0,0;0,7;0,7;0,7;
34202;Georg-Büchner-Schule;1.157;249;249;55;101;40;15;2;5;4;20;0;6;0;1;
 ; in %; ;24,7;100;22,1;40,6;16,1;6,0;0,8;2,0;1,6;8,0;0,0;2,4;0,0;0,4;
34203;Georg-Büchner-Schule;1.654;320;315;65;132;40;41;5;7;2;17;3;3;0;0;
 ; in %; ;21,2;98,4;20,6;41,9;12,7;13,0;1,6;2,2;0,6;5,4;1,0;1,0;0,0;0,0;
34301;Chemetall Kantine;1.647;404;402;77;188;34;66;0;9;2;19;2;4;0;1;
 ; in %; ;26,8;99,5;19,2;46,8;8,5;16,4;0,0;2,2;0,5;4,7;0,5;1,0;0,0;0,2;
35001;Saalbau Bürgerhaus Bockenheim;1.386;297;297;39;145;37;52;6;3;1;11;3;0;0;0;
 ; in %; ;23,7;100;13,1;48,8;12,5;17,5;2,0;1,0;0,3;3,7;1,0;0,0;0,0;0,0;
35002;Saalbau Bürgerhaus Bockenheim;1.256;430;428;46;241;48;54;2;9;1;17;0;9;1;0;
 ; in %; ;38,3;99,5;10,7;56,3;11,2;12,6;0,5;2,1;0,2;4,0;0,0;2,1;0,2;0,0;
35003;Pflegeheim Bockenheim;1.148;324;323;46;141;44;68;3;4;0;10;1;5;0;1;
 ; in %; ;30,7;99,7;14,2;43,7;13,6;21,1;0,9;1,2;0,0;3,1;0,3;1,5;0,0;0,3;
35004;Diakonie Hessen;1.466;371;368;58;171;50;65;9;6;0;6;0;1;1;1;
 ; in %; ;26,8;99,2;15,8;46,5;13,6;17,7;2,4;1,6;0,0;1,6;0,0;0,3;0,3;0,3;
36101;Titania;1.274;515;514;67;232;94;90;3;10;1;14;0;1;1;1;
 ; in %; ;45,4;99,8;13,0;45,1;18,3;17,5;0,6;1,9;0,2;2,7;0,0;0,2;0,2;0,2;
36102;Titania;1.422;549;546;67;244;84;111;14;4;1;13;1;6;1;0;
 ; in %; ;43,5;99,5;12,3;44,7;15,4;20,3;2,6;0,7;0,2;2,4;0,2;1,1;0,2;0,0;
36103;Max-Beckmann-Schule;1.643;553;550;95;259;92;73;8;7;1;9;0;6;0;0;
 ; in %; ;38,7;99,5;17,3;47,1;16,7;13,3;1,5;1,3;0,2;1,6;0,0;1,1;0,0;0,0;
36201;Max-Beckmann-Schule;1.255;331;329;140;82;40;34;6;4;2;21;0;0;0;0;
 ; in %; ;31,5;99,4;42,6;24,9;12,2;10,3;1,8;1,2;0,6;6,4;0,0;0,0;0,0;0,0;
36202;Max-Beckmann-Schule;1.371;586;582;177;245;64;45;5;11;2;32;0;1;0;0;
 ; in %; ;50,1;99,3;30,4;42,1;11,0;7,7;0,9;1,9;0,3;5,5;0,0;0,2;0,0;0,0;
36203;Max-Beckmann-Schule;1.030;357;356;63;169;49;58;5;6;1;5;0;0;0;0;
 ; in %; ;41,5;99,7;17,7;47,5;13,8;16,3;1,4;1,7;0,3;1,4;0,0;0,0;0,0;0,0;
36204;Ev. Gemeinde Bockenheim;1.130;357;356;47;195;40;59;3;2;1;8;0;1;0;0;
 ; in %; ;34,4;99,7;13,2;54,8;11,2;16,6;0,8;0,6;0,3;2,2;0,0;0,3;0,0;0,0;
91201;Briefwahl Bockenheim;0;293;293;102;114;28;15;2;9;7;13;0;3;0;0;
 ; in %; ;0,0;100;34,8;38,9;9,6;5,1;0,7;3,1;2,4;4,4;0,0;1,0;0,0;0,0;
91202;Briefwahl Bockenheim;0;342;342;65;134;66;49;2;8;3;8;1;6;0;0;
 ; in %; ;0,0;100;19,0;39,2;19,3;14,3;0,6;2,3;0,9;2,3;0,3;1,8;0,0;0,0;
91203;Briefwahl Bockenheim;0;276;273;95;92;35;13;5;7;4;15;0;4;2;1;
 ; in %; ;0,0;98,9;34,8;33,7;12,8;4,8;1,8;2,6;1,5;5,5;0,0;1,5;0,7;0,4;
91204;Briefwahl Bockenheim;0;416;416;68;201;61;53;4;5;4;17;0;3;0;0;
 ; in %; ;0,0;100;16,3;48,3;14,7;12,7;1,0;1,2;1,0;4,1;0,0;0,7;0,0;0,0;
91205;Briefwahl Bockenheim;0;469;469;101;201;74;60;12;6;3;9;1;2;0;0;
 ; in %; ;0,0;100;21,5;42,9;15,8;12,8;2,6;1,3;0,6;1,9;0,2;0,4;0,0;0,0;
91206;Briefwahl Bockenheim;0;369;369;206;97;29;13;1;3;1;16;0;3;0;0;
 ; in %; ;0,0;100;55,8;26,3;7,9;3,5;0,3;0,8;0,3;4,3;0,0;0,8;0,0;0,0;
91207;Briefwahl Bockenheim;0;252;249;58;99;40;35;0;8;1;6;0;0;2;0;
 ; in %; ;0,0;98,8;23,3;39,8;16,1;14,1;0,0;3,2;0,4;2,4;0,0;0,0;0,8;0,0;
;Stadtteil Bockenheim ges.;27.090;10.377;10.332;2.204;4.546;1.349;1.339;132;161;56;417;16;84;20;8;
 ; in %; ;38,3;99,6;21,3;44,0;13,1;13,0;1,3;1,6;0,5;4,0;0,2;0,8;0,2;0,1;
;;;;;;;;;;;;;;;;;
;Stadtteil Bonames;;;;;;;;;;;;;;;;
49101;August-Jaspert-Schule;1.476;528;520;87;290;36;43;3;11;3;34;3;6;4;0;
 ; in %; ;39,4;98,5;16,7;55,8;6,9;8,3;0,6;2,1;0,6;6,5;0,6;1,2;0,8;0,0;
49102;August-Jaspert-Schule;1.607;499;492;114;263;29;30;0;15;0;34;1;1;5;0;
 ; in %; ;33,4;98,6;23,2;53,5;5,9;6,1;0,0;3,0;0,0;6,9;0,2;0,2;1,0;0,0;
49103;August-Jaspert-Schule;1.384;253;252;42;161;11;14;2;3;0;16;0;2;1;0;
 ; in %; ;19,4;99,6;16,7;63,9;4,4;5,6;0,8;1,2;0,0;6,3;0,0;0,8;0,4;0,0;
93100;Briefwahl Bonames;0;286;285;68;148;16;22;2;7;5;14;0;2;0;1;
 ; in %; ;0,0;99,7;23,9;51,9;5,6;7,7;0,7;2,5;1,8;4,9;0,0;0,7;0,0;0,4;
;Stadtteil Bonames ges.;4.467;1.566;1.549;311;862;92;109;7;36;8;98;4;11;10;1;
 ; in %; ;35,1;98,9;20,1;55,6;5,9;7,0;0,5;2,3;0,5;6,3;0,3;0,7;0,6;0,1;
;;;;;;;;;;;;;;;;;
;Stadtteil Bornheim;;;;;;;;;;;;;;;;
24001;Altentagesstätte der AWO;1.096;370;369;58;170;62;57;7;2;0;11;1;1;0;0;
 ; in %; ;37,2;99,7;15,7;46,1;16,8;15,4;1,9;0,5;0,0;3,0;0,3;0,3;0,0;0,0;
24002;Altentagesstätte der AWO;1.178;417;415;95;186;53;51;6;4;2;16;0;1;1;0;
 ; in %; ;39,7;99,5;22,9;44,8;12,8;12,3;1,4;1,0;0,5;3,9;0,0;0,2;0,2;0,0;
27101;Louise-von-Rothschild-Schule;1.603;625;623;77;305;104;89;15;4;0;13;3;8;5;0;
 ; in %; ;43,7;99,7;12,4;49,0;16,7;14,3;2,4;0,6;0,0;2,1;0,5;1,3;0,8;0,0;
27102;Louise-von-Rothschild-Schule;1.392;474;473;73;229;69;66;5;2;2;13;1;11;2;0;
 ; in %; ;40,0;99,8;15,4;48,4;14,6;14,0;1,1;0,4;0,4;2,7;0,2;2,3;0,4;0,0;
27201;Ev. Kirchengemeinde Bornheim;1.406;388;385;47;236;27;46;1;3;1;18;1;5;0;0;
 ; in %; ;30,3;99,2;12,2;61,3;7,0;11,9;0,3;0,8;0,3;4,7;0,3;1,3;0,0;0,0;
27202;Ev. Kirchengemeinde Bornheim;1.551;509;505;61;276;61;67;7;7;0;17;2;4;3;0;
 ; in %; ;36,3;99,2;12,1;54,7;12,1;13,3;1,4;1,4;0,0;3,4;0,4;0,8;0,6;0,0;
27203;Kirchnerschule;1.226;467;463;83;238;66;52;11;5;1;5;0;2;0;0;
 ; in %; ;42,8;99,1;17,9;51,4;14,3;11,2;2,4;1,1;0,2;1,1;0,0;0,4;0,0;0,0;
27204;Luisenhof Kantine der FES;1.752;461;456;60;255;62;42;7;2;1;19;2;2;3;1;
 ; in %; ;29,2;98,9;13,2;55,9;13,6;9,2;1,5;0,4;0,2;4,2;0,4;0,4;0,7;0,2;
27205;Valentin-Senger-Schule;998;396;393;78;208;38;32;6;5;1;18;1;2;4;0;
 ; in %; ;43,4;99,2;19,8;52,9;9,7;8,1;1,5;1,3;0,3;4,6;0,3;0,5;1,0;0,0;
28101;Haus Saalburg;1.449;483;480;76;260;48;61;5;5;3;19;0;2;1;0;
 ; in %; ;37,1;99,4;15,8;54,2;10,0;12,7;1,0;1,0;0,6;4,0;0,0;0,4;0,2;0,0;
28102;St. Josef-Gemeinde;1.309;439;438;83;251;29;34;5;4;4;22;1;3;0;2;
 ; in %; ;36,7;99,8;18,9;57,3;6,6;7,8;1,1;0,9;0,9;5,0;0,2;0,7;0,0;0,5;
28103;Theater Grüne Sosse;1.561;522;519;81;299;33;61;4;4;1;23;1;7;5;0;
 ; in %; ;37,1;99,4;15,6;57,6;6,4;11,8;0,8;0,8;0,2;4,4;0,2;1,3;1,0;0,0;
28201;Brüder-Grimm-Schule;1.171;356;354;48;209;32;33;5;3;0;21;0;3;0;0;
 ; in %; ;33,4;99,4;13,6;59,0;9,0;9,3;1,4;0,8;0,0;5,9;0,0;0,8;0,0;0,0;
28202;Stauffenbergschule;1.301;467;464;78;208;76;67;9;1;0;18;1;4;2;0;
 ; in %; ;41,4;99,4;16,8;44,8;16,4;14,4;1,9;0,2;0,0;3,9;0,2;0,9;0,4;0,0;
28203;Stauffenbergschule;1.378;510;507;85;230;65;85;10;4;1;21;1;4;0;1;
 ; in %; ;42,2;99,4;16,8;45,4;12,8;16,8;2,0;0,8;0,2;4,1;0,2;0,8;0,0;0,2;
29001;Kirchnerschule;1.023;360;358;68;191;17;35;4;10;2;28;0;2;1;0;
 ; in %; ;40,1;99,4;19,0;53,4;4,7;9,8;1,1;2,8;0,6;7,8;0,0;0,6;0,3;0,0;
29002;AWO Altentagesstätte;838;268;268;46;156;23;16;2;2;2;14;1;6;0;0;
 ; in %; ;35,7;100;17,2;58,2;8,6;6,0;0,7;0,7;0,7;5,2;0,4;2,2;0,0;0,0;
90901;Briefwahl Bornheim;0;213;212;61;89;26;11;5;5;1;14;0;0;0;0;
 ; in %; ;0,0;99,5;28,8;42,0;12,3;5,2;2,4;2,4;0,5;6,6;0,0;0,0;0,0;0,0;
90902;Briefwahl Bornheim;0;346;346;72;162;45;39;5;5;0;9;1;8;0;0;
 ; in %; ;0,0;100;20,8;46,8;13,0;11,3;1,4;1,4;0,0;2,6;0,3;2,3;0,0;0,0;
90903;Briefwahl Bornheim;0;368;368;54;204;35;31;6;8;4;21;0;3;0;2;
 ; in %; ;0,0;100;14,7;55,4;9,5;8,4;1,6;2,2;1,1;5,7;0,0;0,8;0,0;0,5;
90904;Briefwahl Bornheim;0;444;443;95;196;69;39;8;5;2;23;1;4;1;0;
 ; in %; ;0,0;99,8;21,4;44,2;15,6;8,8;1,8;1,1;0,5;5,2;0,2;0,9;0,2;0,0;
90905;Briefwahl Bornheim;0;380;378;84;190;34;34;3;6;1;22;0;4;0;0;
 ; in %; ;0,0;99,5;22,2;50,3;9,0;9,0;0,8;1,6;0,3;5,8;0,0;1,1;0,0;0,0;
90906;Briefwahl Bornheim;0;419;416;95;206;43;36;10;5;2;13;3;2;1;0;
 ; in %; ;0,0;99,3;22,8;49,5;10,3;8,7;2,4;1,2;0,5;3,1;0,7;0,5;0,2;0,0;
;Stadtteil Bornheim ges.;22.232;9.682;9.633;1.658;4.954;1.117;1.084;146;101;31;398;21;88;29;6;
 ; in %; ;43,5;99,5;17,2;51,4;11,6;11,3;1,5;1,0;0,3;4,1;0,2;0,9;0,3;0,1;
;;;;;;;;;;;;;;;;;
;Stadtteil Dornbusch;;;;;;;;;;;;;;;;
44201;Astrid-Lindgren-Schule;959;309;306;57;165;18;33;2;3;4;17;0;7;0;0;
 ; in %; ;35,3;99,0;18,6;53,9;5,9;10,8;0,7;1,0;1,3;5,6;0,0;2,3;0,0;0,0;
44202;Franz-Böhm-Schule;1.422;528;525;234;181;46;26;4;7;5;18;0;4;0;0;
 ; in %; ;44,5;99,4;44,6;34,5;8,8;5,0;0,8;1,3;1,0;3,4;0,0;0,8;0,0;0,0;
44203;Franz-Böhm-Schule;1.531;544;542;181;212;59;39;6;4;7;23;1;10;0;0;
 ; in %; ;43,8;99,6;33,4;39,1;10,9;7,2;1,1;0,7;1,3;4,2;0,2;1,8;0,0;0,0;
44204;Franz-Böhm-Schule;865;285;284;75;119;33;36;1;3;0;14;0;2;1;0;
 ; in %; ;39,0;99,6;26,4;41,9;11,6;12,7;0,4;1,1;0,0;4,9;0,0;0,7;0,4;0,0;
46201;Wöhlerschule;1.265;469;464;112;208;52;43;5;10;1;32;0;1;0;0;
 ; in %; ;43,6;98,9;24,1;44,8;11,2;9,3;1,1;2,2;0,2;6,9;0,0;0,2;0,0;0,0;
46202;Wöhlerschule;1.010;376;374;67;192;41;47;3;4;1;11;2;4;2;0;
 ; in %; ;41,2;99,5;17,9;51,3;11,0;12,6;0,8;1,1;0,3;2,9;0,5;1,1;0,5;0,0;
46203;Rudolf Steiner Haus;1.140;376;374;66;196;44;38;3;4;1;20;0;0;2;0;
 ; in %; ;36,8;99,5;17,6;52,4;11,8;10,2;0,8;1,1;0,3;5,3;0,0;0,0;0,5;0,0;
46204;Ev. Andreasgemeinde;1.023;365;361;95;175;24;27;3;6;0;25;0;4;2;0;
 ; in %; ;38,2;98,9;26,3;48,5;6,6;7,5;0,8;1,7;0,0;6,9;0,0;1,1;0,6;0,0;
46205;Ev. Andreasgemeinde;1.222;309;306;82;137;29;33;4;3;1;16;0;1;0;0;
 ; in %; ;27,7;99,0;26,8;44,8;9,5;10,8;1,3;1,0;0,3;5,2;0,0;0,3;0,0;0,0;
46206;Rudolf Steiner Haus;1.213;374;371;66;207;27;40;3;4;0;20;0;4;0;0;
 ; in %; ;34,0;99,2;17,8;55,8;7,3;10,8;0,8;1,1;0,0;5,4;0,0;1,1;0,0;0,0;
46301;Heinrich-Kleyer-Schule;1.021;374;368;104;147;47;35;5;3;2;21;0;3;1;0;
 ; in %; ;41,4;98,4;28,3;39,9;12,8;9,5;1,4;0,8;0,5;5,7;0,0;0,8;0,3;0,0;
46302;Wöhlerschule;856;327;324;76;153;40;32;2;2;2;15;1;0;1;0;
 ; in %; ;44,0;99,1;23,5;47,2;12,3;9,9;0,6;0,6;0,6;4,6;0,3;0,0;0,3;0,0;
92701;Briefwahl Dornbusch;0;291;291;138;94;21;18;1;4;1;12;0;2;0;0;
 ; in %; ;0,0;100;47,4;32,3;7,2;6,2;0,3;1,4;0,3;4,1;0,0;0,7;0,0;0,0;
92702;Briefwahl Dornbusch;0;380;380;161;139;28;17;4;5;2;17;1;6;0;0;
 ; in %; ;0,0;100;42,4;36,6;7,4;4,5;1,1;1,3;0,5;4,5;0,3;1,6;0,0;0,0;
92703;Briefwahl Dornbusch;0;451;450;141;182;51;31;5;11;3;24;0;0;1;1;
 ; in %; ;0,0;99,8;31,3;40,4;11,3;6,9;1,1;2,4;0,7;5,3;0,0;0,0;0,2;0,2;
92704;Briefwahl Dornbusch;0;382;382;110;164;32;31;2;8;7;23;0;3;2;0;
 ; in %; ;0,0;100;28,8;42,9;8,4;8,1;0,5;2,1;1,8;6,0;0,0;0,8;0,5;0,0;
;Stadtteil Dornbusch ges.;13.527;6.140;6.102;1.765;2.671;592;526;53;81;37;308;5;51;12;1;
 ; in %; ;45,4;99,4;28,9;43,8;9,7;8,6;0,9;1,3;0,6;5,0;0,1;0,8;0,2;0,0;
;;;;;;;;;;;;;;;;;
;Stadtteil Eckenheim;;;;;;;;;;;;;;;;
46101;Münzenbergerschule;1.337;385;383;79;195;35;36;7;3;1;24;2;1;0;0;
 ; in %; ;31,6;99,5;20,6;50,9;9,1;9,4;1,8;0,8;0,3;6,3;0,5;0,3;0,0;0,0;
46102;KiZ 117;1.314;269;267;52;156;15;20;2;4;0;17;0;1;0;0;
 ; in %; ;21,5;99,3;19,5;58,4;5,6;7,5;0,7;1,5;0,0;6,4;0,0;0,4;0,0;0,0;
46103;Münzenbergerschule;1.156;357;351;57;199;22;26;6;6;0;26;3;5;0;1;
 ; in %; ;33,8;98,3;16,2;56,7;6,3;7,4;1,7;1,7;0,0;7,4;0,9;1,4;0,0;0,3;
46104;Saalbau Haus Ronneburg;1.448;389;383;71;196;26;33;5;11;0;35;1;4;0;1;
 ; in %; ;29,6;98,5;18,5;51,2;6,8;8,6;1,3;2,9;0,0;9,1;0,3;1,0;0,0;0,3;
46105;Münzenbergerschule;1.454;570;566;110;272;57;65;10;7;0;42;1;1;1;0;
 ; in %; ;44,2;99,3;19,4;48,1;10,1;11,5;1,8;1,2;0,0;7,4;0,2;0,2;0,2;0,0;
46106;Sozialzentrum Marbachweg;1.447;414;412;88;229;26;29;4;9;0;24;2;0;1;0;
 ; in %; ;30,3;99,5;21,4;55,6;6,3;7,0;1,0;2,2;0,0;5,8;0,5;0,0;0,2;0,0;
46107;KiZ 56;1.482;353;351;54;195;16;42;3;9;1;26;3;2;0;0;
 ; in %; ;25,8;99,4;15,4;55,6;4,6;12,0;0,9;2,6;0,3;7,4;0,9;0,6;0,0;0,0;
92901;Briefwahl Eckenheim;0;381;376;91;173;32;29;1;14;4;24;3;5;0;0;
 ; in %; ;0,0;98,7;24,2;46,0;8,5;7,7;0,3;3,7;1,1;6,4;0,8;1,3;0,0;0,0;
92902;Briefwahl Eckenheim;0;339;336;76;149;31;30;3;12;1;30;2;2;0;0;
 ; in %; ;0,0;99,1;22,6;44,3;9,2;8,9;0,9;3,6;0,3;8,9;0,6;0,6;0,0;0,0;
;Stadtteil Eckenheim ges.;9.638;3.457;3.425;678;1.764;260;310;41;75;7;248;17;21;2;2;
