WkrNr;Wahlkreis;Wahlb. insges.;Wählerinnen /Wähler;Gültige Stimmen;Dr. Weyland,Bernadette;Feldmann,Peter;Dr. Eskandari-Grünberg,Nargess;Wißler,Janine;Wehnemann,Nico;Weingärtner,Michael;Yang,Ming;Stein,Volker;Dr. Herrschaft,Felicia;Schloberg,Karsten;Wünsch,Juli;Fischer,Hein;
 ; in %; ;35,9;99,1;19,8;51,5;7,6;9,1;1,2;2,2;0,2;7,2;0,5;0,6;0,1;0,1;
;;;;;;;;;;;;;;;;;
;Stadtteil Eschersheim;;;;;;;;;;;;;;;;
45101;IGS-Eschersheim;1.494;555;555;151;244;58;49;6;11;2;28;0;6;0;0;
 ; in %; ;42,6;100;27,2;44,0;10,5;8,8;1,1;2,0;0,4;5,0;0,0;1,1;0,0;0,0;
45102;Johann-Hinrich-Wichern-Schule;1.435;414;411;113;193;35;21;6;6;2;25;0;8;2;0;
 ; in %; ;32,5;99,3;27,5;47,0;8,5;5,1;1,5;1,5;0,5;6,1;0,0;1,9;0,5;0,0;
45103;Fried-Lübbecke-Schule;1.058;452;452;123;164;65;41;4;13;1;37;0;2;2;0;
 ; in %; ;48,3;100;27,2;36,3;14,4;9,1;0,9;2,9;0,2;8,2;0,0;0,4;0,4;0,0;
45104;Fried-Lübbecke-Schule;1.215;313;311;72;168;16;31;3;0;1;17;1;0;2;0;
 ; in %; ;27,3;99,4;23,2;54,0;5,1;10,0;1,0;0,0;0,3;5,5;0,3;0,0;0,6;0,0;
45201;Ziehenschule;1.534;441;436;92;219;57;39;2;8;0;15;0;1;1;2;
 ; in %; ;33,0;98,9;21,1;50,2;13,1;8,9;0,5;1,8;0,0;3,4;0,0;0,2;0,2;0,5;
45202;Ludwig-Richter-Schule;1.400;515;513;163;199;56;41;1;4;4;39;1;3;2;0;
 ; in %; ;45,2;99,6;31,8;38,8;10,9;8,0;0,2;0,8;0,8;7,6;0,2;0,6;0,4;0,0;
45203;Ludwig-Richter-Schule;1.490;557;554;153;238;68;40;5;6;1;36;0;6;1;0;
 ; in %; ;44,5;99,5;27,6;43,0;12,3;7,2;0,9;1,1;0,2;6,5;0,0;1,1;0,2;0,0;
45204;Ziehenschule;1.540;470;467;105;245;34;44;5;8;1;22;1;1;1;0;
 ; in %; ;34,3;99,4;22,5;52,5;7,3;9,4;1,1;1,7;0,2;4,7;0,2;0,2;0,2;0,0;
92801;Briefwahl Eschersheim;0;505;504;159;202;47;41;8;10;1;27;0;4;3;2;
 ; in %; ;0,0;99,8;31,5;40,1;9,3;8,1;1,6;2,0;0,2;5,4;0,0;0,8;0,6;0,4;
92802;Briefwahl Eschersheim;0;413;410;157;146;43;41;0;8;0;11;1;3;0;0;
 ; in %; ;0,0;99,3;38,3;35,6;10,5;10,0;0,0;2,0;0,0;2,7;0,2;0,7;0,0;0,0;
92803;Briefwahl Eschersheim;0;370;369;120;141;43;20;7;5;3;26;2;0;1;1;
 ; in %; ;0,0;99,7;32,5;38,2;11,7;5,4;1,9;1,4;0,8;7,0;0,5;0,0;0,3;0,3;
;Stadtteil Eschersheim ges.;11.166;5.005;4.982;1.408;2.159;522;408;47;79;16;283;6;34;15;5;
 ; in %; ;44,8;99,5;28,3;43,3;10,5;8,2;0,9;1,6;0,3;5,7;0,1;0,7;0,3;0,1;
;;;;;;;;;;;;;;;;;
;Stadtteil Fechenheim;;;;;;;;;;;;;;;;
51001;Freie Christliche Schule;1.230;214;212;36;151;9;9;1;2;1;2;0;0;1;0;
 ; in %; ;18,3;99,1;17,0;71,2;4,2;4,2;0,5;0,9;0,5;0,9;0,0;0,0;0,5;0,0;
51002;Freie Christliche Schule;1.447;370;368;68;208;24;25;6;8;2;24;0;2;1;0;
 ; in %; ;26,8;99,5;18,5;56,5;6,5;6,8;1,6;2,2;0,5;6,5;0,0;0,5;0,3;0,0;
51003;Konrad-Haenisch-Schule;1.666;169;167;26;103;12;9;2;2;5;7;0;0;1;0;
 ; in %; ;10,4;98,8;15,6;61,7;7,2;5,4;1,2;1,2;3,0;4,2;0,0;0,0;0,6;0,0;
51004;Konrad-Haenisch-Schule;1.483;375;374;110;193;16;34;1;2;1;12;1;2;1;1;
 ; in %; ;28,3;99,7;29,4;51,6;4,3;9,1;0,3;0,5;0,3;3,2;0,3;0,5;0,3;0,3;
52001;Schule am Mainbogen;1.816;255;254;36;157;11;18;1;5;2;16;0;7;1;0;
 ; in %; ;14,9;99,6;14,2;61,8;4,3;7,1;0,4;2,0;0,8;6,3;0,0;2,8;0,4;0,0;
52002;Schule am Mainbogen;1.368;310;305;55;187;21;15;0;5;0;15;2;3;1;1;
 ; in %; ;24,8;98,4;18,0;61,3;6,9;4,9;0,0;1,6;0,0;4,9;0,7;1,0;0,3;0,3;
52003;Schule am Mainbogen;1.371;266;265;43;159;15;27;4;3;1;12;0;0;0;1;
 ; in %; ;20,9;99,6;16,2;60,0;5,7;10,2;1,5;1,1;0,4;4,5;0,0;0,0;0,0;0,4;
93501;Briefwahl Fechenheim;0;319;318;89;171;9;12;4;11;1;19;0;2;0;0;
 ; in %; ;0,0;99,7;28,0;53,8;2,8;3,8;1,3;3,5;0,3;6,0;0,0;0,6;0,0;0,0;
93502;Briefwahl Fechenheim;0;293;288;71;146;15;13;9;4;4;23;0;1;0;2;
 ; in %; ;0,0;98,3;24,7;50,7;5,2;4,5;3,1;1,4;1,4;8,0;0,0;0,3;0,0;0,7;
;Stadtteil Fechenheim ges.;10.381;2.571;2.551;534;1.475;132;162;28;42;17;130;3;17;6;5;
 ; in %; ;24,8;99,2;20,9;57,8;5,2;6,4;1,1;1,6;0,7;5,1;0,1;0,7;0,2;0,2;
;;;;;;;;;;;;;;;;;
;Stadtteil Frankfurter Berg;;;;;;;;;;;;;;;;
49201;Kita Eddy´s Burg;1.412;443;439;85;234;34;35;8;12;3;24;0;1;0;3;
 ; in %; ;33,9;99,1;19,4;53,3;7,7;8,0;1,8;2,7;0,7;5,5;0,0;0,2;0,0;0,7;
49202;Albert-Schweitzer-Schule;1.242;401;399;119;179;21;34;4;8;1;27;1;2;3;0;
 ; in %; ;35,9;99,5;29,8;44,9;5,3;8,5;1,0;2,0;0,3;6,8;0,3;0,5;0,8;0,0;
49203;Albert-Schweitzer-Schule;1.270;180;174;24;116;6;10;4;7;2;2;1;2;0;0;
 ; in %; ;14,9;96,7;13,8;66,7;3,4;5,7;2,3;4,0;1,1;1,1;0,6;1,1;0,0;0,0;
49204;Albert-Schweitzer-Schule;1.485;618;617;174;283;46;48;9;13;1;40;1;2;0;0;
 ; in %; ;46,8;99,8;28,2;45,9;7,5;7,8;1,5;2,1;0,2;6,5;0,2;0,3;0,0;0,0;
94700;Briefwahl Frankfurter Berg;0;407;401;120;166;28;32;9;4;3;29;0;4;5;1;
 ; in %; ;0,0;98,5;29,9;41,4;7,0;8,0;2,2;1,0;0,7;7,2;0,0;1,0;1,2;0,2;
;Stadtteil Frankfurter Berg ges.;5.409;2.049;2.030;522;978;135;159;34;44;10;122;3;11;8;4;
 ; in %; ;37,9;99,1;25,7;48,2;6,7;7,8;1,7;2,2;0,5;6,0;0,1;0,5;0,4;0,2;
;;;;;;;;;;;;;;;;;
;Stadtteil Gallus;;;;;;;;;;;;;;;;
15301;Pfarramt St. Gallus;1.378;192;191;25;68;35;42;4;1;3;9;0;4;0;0;
 ; in %; ;14,7;99,5;13,1;35,6;18,3;22,0;2,1;0,5;1,6;4,7;0,0;2,1;0,0;0,0;
15302;AWO Kita Lahnische Höfe;1.737;378;376;77;183;49;21;5;6;2;28;0;5;0;0;
 ; in %; ;23,7;99,5;20,5;48,7;13,0;5,6;1,3;1,6;0,5;7,4;0,0;1,3;0,0;0,0;
15401;Internationale Kita Ackermannstraße;1.263;266;264;46;151;9;22;0;4;0;28;3;0;1;0;
 ; in %; ;22,2;99,2;17,4;57,2;3,4;8,3;0,0;1,5;0,0;10,6;1,1;0,0;0,4;0,0;
15402;Internationale Kita Ackermannstraße;1.067;185;183;31;116;4;11;3;1;0;17;0;0;0;0;
 ; in %; ;18,0;98,9;16,9;63,4;2,2;6,0;1,6;0,5;0,0;9,3;0,0;0,0;0,0;0,0;
16101;Falkschule;1.246;201;200;37;79;26;29;5;5;0;18;0;1;0;0;
 ; in %; ;17,2;99,5;18,5;39,5;13,0;14,5;2,5;2,5;0,0;9,0;0,0;0,5;0,0;0,0;
16102;Saalbau Haus Gallus;1.409;233;229;31;102;17;44;6;1;4;16;6;0;1;1;
 ; in %; ;17,8;98,3;13,5;44,5;7,4;19,2;2,6;0,4;1,7;7,0;2,6;0,0;0,4;0,4;
16103;Saalbau Haus Gallus;998;186;184;61;66;24;6;2;2;0;20;0;3;0;0;
 ; in %; ;23,0;98,9;33,2;35,9;13,0;3,3;1,1;1,1;0,0;10,9;0,0;1,6;0,0;0,0;
16104;Saalbau Haus Gallus;1.201;222;222;48;102;20;22;5;3;2;16;1;3;0;0;
 ; in %; ;20,1;100;21,6;45,9;9,0;9,9;2,3;1,4;0,9;7,2;0,5;1,4;0,0;0,0;
16201;Begegnungszentrum;1.411;347;345;56;172;31;50;6;5;1;21;1;1;1;0;
 ; in %; ;26,7;99,4;16,2;49,9;9,0;14,5;1,7;1,4;0,3;6,1;0,3;0,3;0,3;0,0;
16202;Paul-Hindemith-Schule;1.525;348;346;56;149;52;54;6;3;0;23;1;1;0;1;
 ; in %; ;24,7;99,4;16,2;43,1;15,0;15,6;1,7;0,9;0,0;6,6;0,3;0,3;0,0;0,3;
16203;Begegnungszentrum;1.663;345;342;71;157;41;41;7;4;3;14;0;4;0;0;
 ; in %; ;22,5;99,1;20,8;45,9;12,0;12,0;2,0;1,2;0,9;4,1;0,0;1,2;0,0;0,0;
16204;Paul-Hindemith-Schule;1.289;419;412;128;159;56;22;1;8;4;28;3;0;3;0;
 ; in %; ;37,5;98,3;31,1;38,6;13,6;5,3;0,2;1,9;1,0;6,8;0,7;0,0;0,7;0,0;
16205;Ökumenisches Zentrum Europaviertel;1.084;252;252;81;82;28;10;7;8;3;27;0;6;0;0;
 ; in %; ;25,4;100;32,1;32,5;11,1;4,0;2,8;3,2;1,2;10,7;0,0;2,4;0,0;0,0;
16401;Bürgermeister-Grimm-Schule;1.003;162;162;32;70;13;18;2;4;0;22;0;1;0;0;
 ; in %; ;17,8;100;19,8;43,2;8,0;11,1;1,2;2,5;0,0;13,6;0,0;0,6;0,0;0,0;
16501;Begegnungsstätte Frankenallee;1.289;227;226;30;123;24;29;4;3;0;12;0;1;0;0;
 ; in %; ;18,4;99,6;13,3;54,4;10,6;12,8;1,8;1,3;0,0;5,3;0,0;0,4;0,0;0,0;
16502;Ev. Gemeinde Frieden und Versöhnung;1.229;238;236;33;156;14;25;1;2;0;5;0;0;0;0;
 ; in %; ;20,3;99,2;14,0;66,1;5,9;10,6;0,4;0,8;0,0;2,1;0,0;0,0;0,0;0,0;
16503;Begegnungsstätte Frankenallee;1.349;234;232;29;130;17;25;2;4;3;16;1;4;0;1;
 ; in %; ;18,1;99,1;12,5;56,0;7,3;10,8;0,9;1,7;1,3;6,9;0,4;1,7;0,0;0,4;
16504;Ev. Gemeinde Frieden und Versöhnung;1.817;342;339;97;143;28;16;3;5;11;30;2;4;0;0;
 ; in %; ;21,3;99,1;28,6;42,2;8,3;4,7;0,9;1,5;3,2;8,8;0,6;1,2;0,0;0,0;
91101;Briefwahl Gallus;0;739;735;177;347;55;58;10;17;6;55;4;5;0;1;
 ; in %; ;0,0;99,5;24,1;47,2;7,5;7,9;1,4;2,3;0,8;7,5;0,5;0,7;0,0;0,1;
91102;Briefwahl Gallus;0;436;435;115;177;44;38;8;16;10;21;0;5;1;0;
 ; in %; ;0,0;99,8;26,4;40,7;10,1;8,7;1,8;3,7;2,3;4,8;0,0;1,1;0,2;0,0;
91103;Briefwahl Gallus;0;577;577;182;194;67;57;6;10;12;43;1;5;0;0;
 ; in %; ;0,0;100;31,5;33,6;11,6;9,9;1,0;1,7;2,1;7,5;0,2;0,9;0,0;0,0;
;Stadtteil Gallus ges.;23.958;6.529;6.488;1.443;2.926;654;640;93;112;64;469;23;53;7;4;
 ; in %; ;27,3;99,4;22,2;45,1;10,1;9,9;1,4;1,7;1,0;7,2;0,4;0,8;0,1;0,1;
;;;;;;;;;;;;;;;;;
;Stadtteil Ginnheim;;;;;;;;;;;;;;;;
44101;Bethlehemgemeinde;1.322;509;508;143;220;57;36;6;4;1;34;1;4;2;0;
 ; in %; ;45,4;99,8;28,1;43,3;11,2;7,1;1,2;0,8;0,2;6,7;0,2;0,8;0,4;0,0;
44102;Kita Zauberwürfel;1.461;417;412;60;222;28;62;1;7;1;25;1;3;2;0;
 ; in %; ;30,6;98,8;14,6;53,9;6,8;15,0;0,2;1,7;0,2;6,1;0,2;0,7;0,5;0,0;
44103;Jugendclub Stefan Zweig;1.370;386;382;72;190;33;46;6;5;0;24;0;5;1;0;
 ; in %; ;31,2;99,0;18,8;49,7;8,6;12,0;1,6;1,3;0,0;6,3;0,0;1,3;0,3;0,0;
44104;Diesterwegschule;1.422;365;362;56;193;36;38;2;4;4;25;0;3;0;1;
 ; in %; ;28,2;99,2;15,5;53,3;9,9;10,5;0,6;1,1;1,1;6,9;0,0;0,8;0,0;0,3;
44105;Altenwohnanlage Ginnheim;1.537;444;444;78;231;34;39;6;5;5;41;2;3;0;0;
 ; in %; ;33,6;100;17,6;52,0;7,7;8,8;1,4;1,1;1,1;9,2;0,5;0,7;0,0;0,0;
44106;Altenwohnanlage Ginnheim;1.548;476;472;63;286;29;45;4;11;3;21;2;6;2;0;
 ; in %; ;33,6;99,2;13,3;60,6;6,1;9,5;0,8;2,3;0,6;4,4;0,4;1,3;0,4;0,0;
44107;Bethlehemgemeinde;1.265;506;504;129;206;65;56;4;10;0;29;0;5;0;0;
 ; in %; ;46,0;99,6;25,6;40,9;12,9;11,1;0,8;2,0;0,0;5,8;0,0;1,0;0,0;0,0;
44108;Astrid-Lindgren-Schule;1.260;212;210;28;138;11;23;2;2;0;5;0;1;0;0;
 ; in %; ;17,1;99,1;13,3;65,7;5,2;11,0;1,0;1,0;0,0;2,4;0,0;0,5;0,0;0,0;
92601;Briefwahl Ginnheim;0;512;509;172;193;42;49;7;13;4;23;0;4;2;0;
 ; in %; ;0,0;99,4;33,8;37,9;8,3;9,6;1,4;2,6;0,8;4,5;0,0;0,8;0,4;0,0;
92602;Briefwahl Ginnheim;0;483;482;138;222;41;35;8;12;4;18;0;4;0;0;
 ; in %; ;0,0;99,8;28,6;46,1;8,5;7,3;1,7;2,5;0,8;3,7;0,0;0,8;0,0;0,0;
;Stadtteil Ginnheim ges.;11.185;4.310;4.285;939;2.101;376;429;46;73;22;245;6;38;9;1;
 ; in %; ;38,5;99,4;21,9;49,0;8,8;10,0;1,1;1,7;0,5;5,7;0,1;0,9;0,2;0,0;
;;;;;;;;;;;;;;;;;
;Stadtteil Griesheim;;;;;;;;;;;;;;;;
54101;Griechische Schule;2.161;256;252;41;139;17;17;4;6;0;26;0;1;1;0;
 ; in %; ;12,2;98,4;16,3;55,2;6,7;6,7;1,6;2,4;0,0;10,3;0,0;0,4;0,4;0,0;
54102;Griechische Schule;1.579;442;436;107;207;51;24;4;6;3;27;2;5;0;0;
 ; in %; ;30,2;98,6;24,5;47,5;11,7;5,5;0,9;1,4;0,7;6,2;0,5;1,1;0,0;0,0;
54201;Eichendorffschule;889;287;287;79;144;8;22;2;5;0;25;0;1;1;0;
 ; in %; ;34,5;100;27,5;50,2;2,8;7,7;0,7;1,7;0,0;8,7;0,0;0,3;0,3;0,0;
54202;Eichendorffschule;1.517;218;211;35;141;7;8;3;4;0;13;0;0;0;0;
 ; in %; ;14,8;96,8;16,6;66,8;3,3;3,8;1,4;1,9;0,0;6,2;0,0;0,0;0,0;0,0;
54203;Georg-August-Zinn-Schule;1.710;240;240;41;163;5;12;1;1;3;13;1;0;0;0;
 ; in %; ;14,6;100;17,1;67,9;2,1;5,0;0,4;0,4;1,3;5,4;0,4;0,0;0,0;0,0;
55101;Boehleschule;1.333;336;334;83;159;32;24;3;7;2;20;0;2;0;2;
 ; in %; ;27,3;99,4;24,9;47,6;9,6;7,2;0,9;2,1;0,6;6,0;0,0;0,6;0,0;0,6;
55102;Sporthalle Athletikverein;1.123;234;232;40;144;11;12;3;5;0;14;1;2;0;0;
 ; in %; ;22,0;99,1;17,2;62,1;4,7;5,2;1,3;2,2;0,0;6,0;0,4;0,9;0,0;0,0;
55201;Georg-August-Zinn-Schule;1.563;281;279;64;133;20;23;3;7;0;26;0;3;0;0;
 ; in %; ;19,9;99,3;22,9;47,7;7,2;8,2;1,1;2,5;0,0;9,3;0,0;1,1;0,0;0,0;
55202;Gemeindezentrum St. Hedwig;1.638;245;242;52;131;10;15;3;7;0;21;1;1;0;1;
 ; in %; ;15,8;98,8;21,5;54,1;4,1;6,2;1,2;2,9;0,0;8,7;0,4;0,4;0,0;0,4;
55203;KiZ 120;1.397;344;340;45;217;11;23;3;9;2;28;0;1;0;1;
 ; in %; ;26,2;98,8;13,2;63,8;3,2;6,8;0,9;2,6;0,6;8,2;0,0;0,3;0,0;0,3;
91901;Briefwahl Griesheim;0;350;347;94;167;19;16;1;6;12;28;0;4;0;0;
 ; in %; ;0,0;99,1;27,1;48,1;5,5;4,6;0,3;1,7;3,5;8,1;0,0;1,2;0,0;0,0;
91902;Briefwahl Griesheim;0;437;432;114;176;36;28;8;23;19;20;1;2;2;3;
 ; in %; ;0,0;98,9;26,4;40,7;8,3;6,5;1,9;5,3;4,4;4,6;0,2;0,5;0,5;0,7;
;Stadtteil Griesheim ges.;14.910;3.670;3.632;795;1.921;227;224;38;86;41;261;6;22;4;7;
 ; in %; ;24,6;99,0;21,9;52,9;6,3;6,2;1,0;2,4;1,1;7,2;0,2;0,6;0,1;0,2;
;;;;;;;;;;;;;;;;;
;Stadtteil Gutleut-/Bahnhofsviertel;;;;;;;;;;;;;;;;
09001;Weißfrauenschule;2.273;480;480;109;162;54;95;16;5;2;31;2;3;0;1;
 ; in %; ;22,9;100;22,7;33,8;11,3;19,8;3,3;1,0;0,4;6,5;0,4;0,6;0,0;0,2;
15101;Johanna-Kirchner-Altenhilfezentrum;590;144;140;19;98;2;9;2;2;0;7;1;0;0;0;
 ; in %; ;25,9;97,2;13,6;70,0;1,4;6,4;1,4;1,4;0,0;5,0;0,7;0,0;0,0;0,0;
15102;Berufsbildungszentrum;1.440;284;282;30;138;25;64;10;3;0;8;1;1;1;1;
 ; in %; ;20,8;99,3;10,6;48,9;8,9;22,7;3,5;1,1;0,0;2,8;0,4;0,4;0,4;0,4;
15103;Saalbau Haus Gutleut;1.639;427;424;66;182;66;67;2;0;4;29;4;3;1;0;
 ; in %; ;28,8;99,3;15,6;42,9;15,6;15,8;0,5;0,0;0,9;6,8;0,9;0,7;0,2;0,0;
15104;Cronstetten-Haus;860;306;306;134;95;30;9;0;2;2;28;1;4;1;0;
 ; in %; ;40,5;100;43,8;31,0;9,8;2,9;0,0;0,7;0,7;9,2;0,3;1,3;0,3;0,0;
91000;Briefwahl Gutleut-/Bahnhofsviertel;0;472;471;132;156;63;48;14;4;6;35;3;9;0;1;
 ; in %; ;0,0;99,8;28,0;33,1;13,4;10,2;3,0;0,8;1,3;7,4;0,6;1,9;0,0;0,2;
;Stadtteil Gutleut-/Bahnhofsviertel ges.;6.802;2.113;2.103;490;831;240;292;44;16;14;138;12;20;3;3;
 ; in %; ;31,1;99,5;23,3;39,5;11,4;13,9;2,1;0,8;0,7;6,6;0,6;1,0;0,1;0,1;
;;;;;;;;;;;;;;;;;
;Stadtteil Harheim;;;;;;;;;;;;;;;;
66001;Bürgerhaus Harheim;1.322;552;551;197;199;48;40;4;11;2;42;2;3;3;0;
 ; in %; ;47,3;99,8;35,8;36,1;8,7;7,3;0,7;2,0;0,4;7,6;0,4;0,5;0,5;0,0;
66002;Bürgerhaus Harheim;1.100;381;379;151;129;29;20;4;7;0;34;1;3;1;0;
 ; in %; ;39,5;99,5;39,8;34,0;7,7;5,3;1,1;1,8;0,0;9,0;0,3;0,8;0,3;0,0;
66003;Bürgerhaus Harheim;1.126;511;507;251;141;29;20;2;11;2;44;1;4;2;0;
 ; in %; ;51,6;99,2;49,5;27,8;5,7;3,9;0,4;2,2;0,4;8,7;0,2;0,8;0,4;0,0;
94400;Briefwahl Harheim;0;402;399;165;132;26;16;4;14;4;30;2;2;0;4;
 ; in %; ;0,0;99,3;41,4;33,1;6,5;4,0;1,0;3,5;1,0;7,5;0,5;0,5;0,0;1,0;
;Stadtteil Harheim ges.;3.548;1.846;1.836;764;601;132;96;14;43;8;150;6;12;6;4;
 ; in %; ;52,0;99,5;41,6;32,7;7,2;5,2;0,8;2,3;0,4;8,2;0,3;0,7;0,3;0,2;
;;;;;;;;;;;;;;;;;
;Stadtteil Hausen;;;;;;;;;;;;;;;;
41001;Kerschensteinerschule;1.572;565;558;156;276;38;34;8;6;3;33;0;2;2;0;
 ; in %; ;40,8;98,8;28,0;49,5;6,8;6,1;1,4;1,1;0,5;5,9;0,0;0,4;0,4;0,0;
41002;Kerschensteinerschule;1.413;341;336;58;177;25;42;1;2;1;22;0;6;0;2;
 ; in %; ;25,8;98,5;17,3;52,7;7,4;12,5;0,3;0,6;0,3;6,5;0,0;1,8;0,0;0,6;
41003;Kerschensteinerschule;1.533;401;398;89;197;33;45;6;10;2;10;0;5;1;0;
 ; in %; ;28,9;99,3;22,4;49,5;8,3;11,3;1,5;2,5;0,5;2,5;0,0;1,3;0,3;0,0;
92100;Briefwahl Hausen/Bockenheim;0;507;504;145;239;45;30;1;12;3;23;1;3;0;2;
 ; in %; ;0,0;99,4;28,8;47,4;8,9;6,0;0,2;2,4;0,6;4,6;0,2;0,6;0,0;0,4;
;Stadtteil Hausen ges.;4.518;1.814;1.796;448;889;141;151;16;30;9;88;1;16;3;4;
 ; in %; ;40,2;99,0;24,9;49,5;7,9;8,4;0,9;1,7;0,5;4,9;0,1;0,9;0,2;0,2;
;;;;;;;;;;;;;;;;;
;Stadtteil Heddernheim;;;;;;;;;;;;;;;;
43101;Ökumenische Kita Kaleidoskop;1.175;395;395;103;180;34;28;9;8;5;24;3;0;0;1;
 ; in %; ;36,5;100;26,1;45,6;8,6;7,1;2,3;2,0;1,3;6,1;0,8;0,0;0,0;0,3;
43102;KiZ 129;1.354;472;469;92;234;30;53;9;7;2;35;1;3;1;2;
 ; in %; ;38,8;99,4;19,6;49,9;6,4;11,3;1,9;1,5;0,4;7,5;0,2;0,6;0,2;0,4;
43103;Gemeinde St. Peter und Paul;1.481;583;580;95;307;55;62;10;7;2;35;2;3;2;0;
 ; in %; ;43,9;99,5;16,4;52,9;9,5;10,7;1,7;1,2;0,3;6,0;0,3;0,5;0,3;0,0;
43104;Begegnungsstätte Aßlarer Straße;1.147;306;301;69;157;16;19;3;11;1;22;1;1;1;0;
 ; in %; ;28,0;98,4;22,9;52,2;5,3;6,3;1,0;3,7;0,3;7,3;0,3;0,3;0,3;0,0;
43105;Sozialwerk Main Taunus;819;288;286;66;126;34;30;0;4;2;22;0;2;0;0;
 ; in %; ;41,3;99,3;23,1;44,1;11,9;10,5;0,0;1,4;0,7;7,7;0,0;0,7;0,0;0,0;
43201;St. Thomas Gemeinde;1.418;388;381;87;203;29;23;4;5;1;25;1;1;2;0;
 ; in %; ;30,5;98,2;22,8;53,3;7,6;6,0;1,0;1,3;0,3;6,6;0,3;0,3;0,5;0,0;
43202;Römerstadtschule;1.549;266;265;33;175;7;17;3;4;1;25;0;0;0;0;
 ; in %; ;18,2;99,6;12,5;66,0;2,6;6,4;1,1;1,5;0,4;9,4;0,0;0,0;0,0;0,0;
43203;Geschwister-Scholl-Schule;1.479;541;538;96;303;17;48;7;14;0;48;0;2;3;0;
 ; in %; ;39,8;99,4;17,8;56,3;3,2;8,9;1,3;2,6;0,0;8,9;0,0;0,4;0,6;0,0;
43204;Römerstadtschule;1.445;394;391;61;244;7;35;3;7;1;26;2;1;2;2;
 ; in %; ;29,7;99,2;15,6;62,4;1,8;9,0;0,8;1,8;0,3;6,6;0,5;0,3;0,5;0,5;
92401;Briefwahl Heddernheim;0;508;505;119;218;52;46;14;11;3;42;0;0;0;0;
 ; in %; ;0,0;99,4;23,6;43,2;10,3;9,1;2,8;2,2;0,6;8,3;0,0;0,0;0,0;0,0;
92402;Briefwahl Heddernheim;0;438;435;107;238;12;23;3;8;2;40;0;2;0;0;
 ; in %; ;0,0;99,3;24,6;54,7;2,8;5,3;0,7;1,8;0,5;9,2;0,0;0,5;0,0;0,0;
;Stadtteil Heddernheim ges.;11.867;4.579;4.546;928;2.385;293;384;65;86;20;344;10;15;11;5;
 ; in %; ;38,6;99,3;20,4;52,5;6,4;8,4;1,4;1,9;0,4;7,6;0,2;0,3;0,2;0,1;
;;;;;;;;;;;;;;;;;
;Stadtteil Höchst;;;;;;;;;;;;;;;;
57001;Leibnizschule;1.349;315;313;77;128;31;35;5;5;0;16;0;15;1;0;
 ; in %; ;25,1;99,4;24,6;40,9;9,9;11,2;1,6;1,6;0,0;5,1;0,0;4,8;0,3;0,0;
57002;Robert-Blum-Schule;1.348;259;254;43;152;13;20;3;4;0;18;0;1;0;0;
 ; in %; ;20,3;98,1;16,9;59,8;5,1;7,9;1,2;1,6;0,0;7,1;0,0;0,4;0,0;0,0;
