WkrNr;Wahlkreis;Wahlb. insges.;Wählerinnen /Wähler;Gültige Stimmen;Dr. Weyland,Bernadette;Feldmann,Peter;Dr. Eskandari-Grünberg,Nargess;Wißler,Janine;Wehnemann,Nico;Weingärtner,Michael;Yang,Ming;Stein,Volker;Dr. Herrschaft,Felicia;Schloberg,Karsten;Wünsch,Juli;Fischer,Hein;
57003;Robert-Blum-Schule;1.289;223;219;30;138;10;16;5;2;2;11;1;2;0;2;
 ; in %; ;18,2;98,2;13,7;63,0;4,6;7,3;2,3;0,9;0,9;5,0;0,5;0,9;0,0;0,9;
58001;Helene-Lange-Schule;1.317;255;252;61;117;22;22;3;3;0;18;0;5;1;0;
 ; in %; ;21,8;98,8;24,2;46,4;8,7;8,7;1,2;1,2;0,0;7,1;0,0;2,0;0,4;0,0;
58002;Kasinoschule;1.748;363;363;71;180;35;39;10;3;2;18;0;5;0;0;
 ; in %; ;22,1;100;19,6;49,6;9,6;10,7;2,8;0,8;0,6;5,0;0,0;1,4;0,0;0,0;
59101;Paul-Ehrlich-Schule;1.411;253;251;45;135;23;26;5;2;0;10;1;4;0;0;
 ; in %; ;18,9;99,2;17,9;53,8;9,2;10,4;2,0;0,8;0,0;4,0;0,4;1,6;0,0;0,0;
59102;Paul-Ehrlich-Schule;1.397;304;303;44;145;31;37;9;6;0;18;0;13;0;0;
 ; in %; ;23,3;99,7;14,5;47,9;10,2;12,2;3,0;2,0;0,0;5,9;0,0;4,3;0,0;0,0;
93600;Briefwahl Höchst;0;555;551;127;256;45;58;8;14;10;20;4;7;2;0;
 ; in %; ;0,0;99,3;23,0;46,5;8,2;10,5;1,5;2,5;1,8;3,6;0,7;1,3;0,4;0,0;
;Stadtteil Höchst ges.;9.859;2.527;2.506;498;1.251;210;253;48;39;14;129;6;52;4;2;
 ; in %; ;25,6;99,2;19,9;49,9;8,4;10,1;1,9;1,6;0,6;5,1;0,2;2,1;0,2;0,1;
;;;;;;;;;;;;;;;;;
;Stadtteil Innenstadt;;;;;;;;;;;;;;;;
04001;Liebfrauenschule;1.651;269;265;60;102;32;26;2;3;4;31;0;3;2;0;
 ; in %; ;17,9;98,5;22,6;38,5;12,1;9,8;0,8;1,1;1,5;11,7;0,0;1,1;0,8;0,0;
07001;Julius-Leber-Schule;1.139;143;143;30;52;13;27;5;4;1;6;1;3;0;1;
 ; in %; ;13,4;100;21,0;36,4;9,1;18,9;3,5;2,8;0,7;4,2;0,7;2,1;0,0;0,7;
08001;Ludwig-Börne-Schule;1.553;290;287;39;137;38;37;3;6;1;19;3;4;0;0;
 ; in %; ;21,4;99,0;13,6;47,7;13,2;12,9;1,0;2,1;0,3;6,6;1,0;1,4;0,0;0,0;
90200;Briefwahl Innenstadt;0;372;371;126;144;35;28;4;5;1;19;0;8;1;0;
 ; in %; ;0,0;99,7;34,0;38,8;9,4;7,5;1,1;1,3;0,3;5,1;0,0;2,2;0,3;0,0;
;Stadtteil Innenstadt ges.;4.343;1.074;1.066;255;435;118;118;14;18;7;75;4;18;3;1;
 ; in %; ;24,7;99,3;23,9;40,8;11,1;11,1;1,3;1,7;0,7;7,0;0,4;1,7;0,3;0,1;
;;;;;;;;;;;;;;;;;
;Stadtteil Kalbach-Riedberg;;;;;;;;;;;;;;;;
65001;Grundschule Kalbach;1.552;516;513;166;239;37;28;5;9;3;22;1;0;1;2;
 ; in %; ;36,7;99,4;32,4;46,6;7,2;5,5;1,0;1,8;0,6;4,3;0,2;0,0;0,2;0,4;
65002;Grundschule Kalbach;1.351;458;455;139;218;32;29;1;8;1;22;0;3;1;1;
 ; in %; ;37,6;99,3;30,5;47,9;7,0;6,4;0,2;1,8;0,2;4,8;0,0;0,7;0,2;0,2;
65003;Ev. Kita Krambambuli;1.246;538;536;163;262;38;31;4;7;2;27;0;1;1;0;
 ; in %; ;48,2;99,6;30,4;48,9;7,1;5,8;0,7;1,3;0,4;5,0;0,0;0,2;0,2;0,0;
65101;Grundschule Riedberg;1.469;553;549;175;223;64;31;10;3;0;32;0;8;2;1;
 ; in %; ;41,2;99,3;31,9;40,6;11,7;5,6;1,8;0,5;0,0;5,8;0,0;1,5;0,4;0,2;
65102;Grundschule Riedberg;1.800;674;672;232;267;85;20;3;9;4;47;0;5;0;0;
 ; in %; ;41,2;99,7;34,5;39,7;12,6;3,0;0,4;1,3;0,6;7,0;0,0;0,7;0,0;0,0;
65103;Gymnasium Riedberg;1.441;497;493;179;215;36;21;4;6;3;25;0;4;0;0;
 ; in %; ;38,0;99,2;36,3;43,6;7,3;4,3;0,8;1,2;0,6;5,1;0,0;0,8;0,0;0,0;
65104;Gymnasium Riedberg;1.552;481;476;133;201;43;37;6;9;10;32;1;3;1;0;
 ; in %; ;34,0;99,0;27,9;42,2;9,0;7,8;1,3;1,9;2,1;6,7;0,2;0,6;0,2;0,0;
65105;Marie-Curie-Schule;1.095;352;351;105;160;35;21;6;7;3;12;0;2;0;0;
 ; in %; ;34,0;99,7;29,9;45,6;10,0;6,0;1,7;2,0;0,9;3,4;0,0;0,6;0,0;0,0;
65106;Marie-Curie-Schule;903;252;252;77;107;29;11;5;6;1;11;0;3;2;0;
 ; in %; ;29,9;100;30,6;42,5;11,5;4,4;2,0;2,4;0,4;4,4;0,0;1,2;0,8;0,0;
94301;Briefwahl Kalbach-Riedberg;0;385;385;145;185;20;18;2;3;2;7;0;2;1;0;
 ; in %; ;0,0;100;37,7;48,1;5,2;4,7;0,5;0,8;0,5;1,8;0,0;0,5;0,3;0,0;
94302;Briefwahl Kalbach-Riedberg;0;653;651;235;272;57;22;3;20;4;29;1;4;3;1;
 ; in %; ;0,0;99,7;36,1;41,8;8,8;3,4;0,5;3,1;0,6;4,5;0,2;0,6;0,5;0,2;
;Stadtteil Kalbach-Riedberg ges.;12.409;5.359;5.333;1.749;2.349;476;269;49;87;33;266;3;35;12;5;
 ; in %; ;43,2;99,5;32,8;44,0;8,9;5,0;0,9;1,6;0,6;5,0;0,1;0,7;0,2;0,1;
;;;;;;;;;;;;;;;;;
;Stadtteil Nied;;;;;;;;;;;;;;;;
56101;Fridtjof-Nansen-Schule;1.306;299;298;69;179;3;20;0;4;2;19;1;1;0;0;
 ; in %; ;24,1;99,7;23,2;60,1;1,0;6,7;0,0;1,3;0,7;6,4;0,3;0,3;0,0;0,0;
56102;Fridtjof-Nansen-Schule;1.249;249;247;61;128;9;16;1;12;0;17;1;2;0;0;
 ; in %; ;21,3;99,2;24,7;51,8;3,6;6,5;0,4;4,9;0,0;6,9;0,4;0,8;0,0;0,0;
56103;Saalbau Haus Nied;1.460;304;302;59;163;17;26;4;2;0;25;0;5;1;0;
 ; in %; ;21,9;99,3;19,5;54,0;5,6;8,6;1,3;0,7;0,0;8,3;0,0;1,7;0,3;0,0;
56104;Ev. Kirchengemeinde Nied;1.247;244;244;70;117;14;22;3;0;1;15;0;2;0;0;
 ; in %; ;20,7;100;28,7;48,0;5,7;9,0;1,2;0,0;0,4;6,1;0,0;0,8;0,0;0,0;
56105;Ev. Kirchengemeinde Nied;1.183;189;188;39;102;10;15;1;4;0;14;0;2;1;0;
 ; in %; ;16,9;99,5;20,7;54,3;5,3;8,0;0,5;2,1;0,0;7,4;0,0;1,1;0,5;0,0;
56201;Friedrich-List-Schule;1.646;498;494;80;286;19;31;4;14;1;51;0;6;2;0;
 ; in %; ;32,2;99,2;16,2;57,9;3,8;6,3;0,8;2,8;0,2;10,3;0,0;1,2;0,4;0,0;
56202;Altenwohnanlage Begegnungsstätte;1.466;349;348;96;188;12;9;4;3;4;29;0;2;1;0;
 ; in %; ;25,5;99,7;27,6;54,0;3,4;2,6;1,1;0,9;1,1;8,3;0,0;0,6;0,3;0,0;
56203;Altenwohnanlage Begegnungsstätte;1.330;304;302;88;152;11;16;3;6;0;25;0;1;0;0;
 ; in %; ;24,2;99,3;29,1;50,3;3,6;5,3;1,0;2,0;0,0;8,3;0,0;0,3;0,0;0,0;
56204;Friedrich-List-Schule;1.772;572;566;131;307;31;23;4;12;1;53;0;4;0;0;
 ; in %; ;36,0;99,0;23,1;54,2;5,5;4,1;0,7;2,1;0,2;9,4;0,0;0,7;0,0;0,0;
93701;Briefwahl Nied;0;307;305;87;144;20;17;5;8;10;10;0;1;2;1;
 ; in %; ;0,0;99,3;28,5;47,2;6,6;5,6;1,6;2,6;3,3;3,3;0,0;0,3;0,7;0,3;
93702;Briefwahl Nied;0;415;414;98;209;20;29;4;11;7;32;0;4;0;0;
 ; in %; ;0,0;99,8;23,7;50,5;4,8;7,0;1,0;2,7;1,7;7,7;0,0;1,0;0,0;0,0;
;Stadtteil Nied ges.;12.659;3.730;3.708;878;1.975;166;224;33;76;26;290;2;30;7;1;
 ; in %; ;29,5;99,4;23,7;53,3;4,5;6,0;0,9;2,0;0,7;7,8;0,1;0,8;0,2;0,0;
;;;;;;;;;;;;;;;;;
;Stadtteil Nieder-Erlenbach;;;;;;;;;;;;;;;;
64001;Schule am Erlenbach;1.160;493;490;206;159;35;23;1;10;1;50;0;2;3;0;
 ; in %; ;50,3;99,4;42,0;32,4;7,1;4,7;0,2;2,0;0,2;10,2;0,0;0,4;0,6;0,0;
64002;Schule am Erlenbach;1.164;400;397;147;161;31;31;5;5;0;14;0;1;2;0;
 ; in %; ;38,8;99,3;37,0;40,6;7,8;7,8;1,3;1,3;0,0;3,5;0,0;0,3;0,5;0,0;
64003;Schule am Erlenbach;1.220;476;473;186;178;38;16;5;9;1;39;1;0;0;0;
 ; in %; ;44,8;99,4;39,3;37,6;8,0;3,4;1,1;1,9;0,2;8,2;0,2;0,0;0,0;0,0;
94200;Briefwahl Nieder-Erlenbach;0;439;436;177;167;38;12;9;12;0;19;1;1;0;0;
 ; in %; ;0,0;99,3;40,6;38,3;8,7;2,8;2,1;2,8;0,0;4,4;0,2;0,2;0,0;0,0;
;Stadtteil Nieder-Erlenbach ges.;3.544;1.808;1.796;716;665;142;82;20;36;2;122;2;4;5;0;
 ; in %; ;51,0;99,3;39,9;37,0;7,9;4,6;1,1;2,0;0,1;6,8;0,1;0,2;0,3;0,0;
;;;;;;;;;;;;;;;;;
;Stadtteil Nieder-Eschbach;;;;;;;;;;;;;;;;
67001;Otto-Hahn-Schule;1.277;463;462;177;155;33;22;1;11;4;53;1;5;0;0;
 ; in %; ;43,1;99,8;38,3;33,5;7,1;4,8;0,2;2,4;0,9;11,5;0,2;1,1;0,0;0,0;
67002;Otto-Hahn-Schule;1.292;352;348;90;152;34;25;1;6;2;35;1;1;1;0;
 ; in %; ;29,7;98,9;25,9;43,7;9,8;7,2;0,3;1,7;0,6;10,1;0,3;0,3;0,3;0,0;
67003;Michael-Grzimek-Schule;1.223;453;446;179;154;30;38;7;13;1;21;3;0;0;0;
 ; in %; ;42,7;98,5;40,1;34,5;6,7;8,5;1,6;2,9;0,2;4,7;0,7;0,0;0,0;0,0;
67004;Michael-Grzimek-Schule;1.312;436;427;158;153;44;20;1;12;0;34;1;2;0;2;
 ; in %; ;38,0;97,9;37,0;35,8;10,3;4,7;0,2;2,8;0,0;8,0;0,2;0,5;0,0;0,5;
67005;Kinderhaus am Bügel;1.462;271;269;69;134;16;9;3;9;0;22;0;1;5;1;
 ; in %; ;20,4;99,3;25,7;49,8;5,9;3,3;1,1;3,3;0,0;8,2;0,0;0,4;1,9;0,4;
67006;Altentagesstätte;1.475;267;263;30;182;8;19;3;2;0;15;0;2;1;1;
 ; in %; ;18,8;98,5;11,4;69,2;3,0;7,2;1,1;0,8;0,0;5,7;0,0;0,8;0,4;0,4;
94501;Briefwahl Nieder-Eschbach;0;424;422;146;147;38;17;7;24;1;39;0;1;1;1;
 ; in %; ;0,0;99,5;34,6;34,8;9,0;4,0;1,7;5,7;0,2;9,2;0,0;0,2;0,2;0,2;
94502;Briefwahl Nieder-Eschbach;0;313;313;95;127;23;18;5;9;8;24;1;2;1;0;
 ; in %; ;0,0;100;30,4;40,6;7,3;5,8;1,6;2,9;2,6;7,7;0,3;0,6;0,3;0,0;
;Stadtteil Nieder-Eschbach ges.;8.041;2.979;2.950;944;1.204;226;168;28;86;16;243;7;14;9;5;
 ; in %; ;37,0;99,0;32,0;40,8;7,7;5,7;0,9;2,9;0,5;8,2;0,2;0,5;0,3;0,2;
;;;;;;;;;;;;;;;;;
;Stadtteil Niederrad;;;;;;;;;;;;;;;;
37101;Frauenhofschule;1.392;262;260;81;114;15;27;1;1;4;14;1;2;0;0;
 ; in %; ;20,1;99,2;31,2;43,8;5,8;10,4;0,4;0,4;1,5;5,4;0,4;0,8;0,0;0,0;
37102;Salzmannschule;1.718;488;486;105;206;39;58;6;9;3;41;2;12;3;2;
 ; in %; ;32,6;99,6;21,6;42,4;8,0;11,9;1,2;1,9;0,6;8,4;0,4;2,5;0,6;0,4;
37103;Salzmannschule;1.396;394;392;74;230;15;28;3;5;1;34;1;1;0;0;
 ; in %; ;30,7;99,5;18,9;58,7;3,8;7,1;0,8;1,3;0,3;8,7;0,3;0,3;0,0;0,0;
37104;Salzmannschule;1.162;259;255;33;151;16;17;9;4;2;20;0;2;1;0;
 ; in %; ;24,7;98,5;12,9;59,2;6,3;6,7;3,5;1,6;0,8;7,8;0,0;0,8;0,4;0,0;
37105;Raum für Kultur;1.116;204;204;39;123;5;22;0;0;0;15;0;0;0;0;
 ; in %; ;19,7;100;19,1;60,3;2,5;10,8;0,0;0,0;0,0;7,4;0,0;0,0;0,0;0,0;
37106;Raum für Kultur;1.238;282;279;49;156;22;18;3;1;0;26;0;2;2;0;
 ; in %; ;24,6;98,9;17,6;55,9;7,9;6,5;1,1;0,4;0,0;9,3;0,0;0,7;0,7;0,0;
37201;Saalbau Turnhalle NTG;1.576;278;271;38;181;10;15;1;5;0;21;0;0;0;0;
 ; in %; ;18,7;97,5;14,0;66,8;3,7;5,5;0,4;1,8;0,0;7,7;0,0;0,0;0,0;0,0;
37202;Friedrich-Fröbel-Schule;1.288;289;288;55;158;14;21;3;5;2;28;0;1;0;1;
 ; in %; ;23,5;99,7;19,1;54,9;4,9;7,3;1,0;1,7;0,7;9,7;0,0;0,3;0,0;0,3;
37203;Friedrich-Fröbel-Schule;1.203;356;355;81;172;25;24;2;2;3;41;1;3;1;0;
 ; in %; ;35,9;99,7;22,8;48,5;7,0;6,8;0,6;0,6;0,8;11,5;0,3;0,8;0,3;0,0;
37204;Friedrich-Fröbel-Schule;1.571;313;311;55;161;19;31;9;2;1;26;3;2;1;1;
 ; in %; ;22,5;99,4;17,7;51,8;6,1;10,0;2,9;0,6;0,3;8,4;1,0;0,6;0,3;0,3;
37205;Saalbau Turnhalle NTG;1.625;433;427;107;205;32;36;7;4;1;29;1;5;0;0;
 ; in %; ;29,4;98,6;25,1;48,0;7,5;8,4;1,6;0,9;0,2;6,8;0,2;1,2;0,0;0,0;
37206;Friedrich-Fröbel-Schule;1.514;378;376;89;190;25;31;3;3;3;25;1;5;1;0;
 ; in %; ;28,2;99,5;23,7;50,5;6,6;8,2;0,8;0,8;0,8;6,6;0,3;1,3;0,3;0,0;
91701;Briefwahl Niederrad;0;384;378;112;151;37;46;5;3;4;14;1;5;0;0;
 ; in %; ;0,0;98,4;29,6;39,9;9,8;12,2;1,3;0,8;1,1;3,7;0,3;1,3;0,0;0,0;
91702;Briefwahl Niederrad;0;269;266;77;127;12;14;3;3;8;19;0;1;1;1;
 ; in %; ;0,0;98,9;28,9;47,7;4,5;5,3;1,1;1,1;3,0;7,1;0,0;0,4;0,4;0,4;
91703;Briefwahl Niederrad;0;393;389;84;212;27;15;8;5;3;25;2;7;0;1;
 ; in %; ;0,0;99,0;21,6;54,5;6,9;3,9;2,1;1,3;0,8;6,4;0,5;1,8;0,0;0,3;
91704;Briefwahl Niederrad;0;430;429;127;175;39;28;7;9;3;37;0;2;2;0;
 ; in %; ;0,0;99,8;29,6;40,8;9,1;6,5;1,6;2,1;0,7;8,6;0,0;0,5;0,5;0,0;
;Stadtteil Niederrad ges.;16.799;5.412;5.366;1.206;2.712;352;431;70;61;38;415;13;50;12;6;
 ; in %; ;32,2;99,2;22,5;50,5;6,6;8,0;1,3;1,1;0,7;7,7;0,2;0,9;0,2;0,1;
;;;;;;;;;;;;;;;;;
;Stadtteil Niederursel;;;;;;;;;;;;;;;;
48101;Gustav-Adolf-Gemeinde;1.533;523;518;147;180;51;52;6;9;3;50;4;5;11;0;
 ; in %; ;38,5;99,0;28,4;34,7;9,8;10,0;1,2;1,7;0,6;9,7;0,8;1,0;2,1;0,0;
48102;Heinrich-Kromer-Schule;1.556;514;510;128;228;50;40;4;15;2;40;0;2;1;0;
 ; in %; ;36,4;99,2;25,1;44,7;9,8;7,8;0,8;2,9;0,4;7,8;0,0;0,4;0,2;0,0;
48103;Erich-Kästner-Schule;1.556;366;362;79;196;22;27;7;3;2;26;0;0;0;0;
 ; in %; ;26,3;98,9;21,8;54,1;6,1;7,5;1,9;0,8;0,6;7,2;0,0;0,0;0,0;0,0;
48201;Gemeinde St. Matthias;1.444;369;367;90;187;23;20;2;8;5;31;0;0;1;0;
 ; in %; ;27,3;99,5;24,5;51,0;6,3;5,4;0,5;2,2;1,4;8,4;0,0;0,0;0,3;0,0;
48202;Mosaikschule;1.506;379;378;78;200;17;35;4;7;0;33;2;1;1;0;
 ; in %; ;26,9;99,7;20,6;52,9;4,5;9,3;1,1;1,9;0,0;8,7;0,5;0,3;0,3;0,0;
48203;Europäische Schule;1.474;386;386;111;174;22;25;3;8;0;37;0;4;2;0;
 ; in %; ;28,3;100;28,8;45,1;5,7;6,5;0,8;2,1;0,0;9,6;0,0;1,0;0,5;0,0;
48301;relexa hotel;1.389;466;461;99;211;57;45;6;12;1;23;1;6;0;0;
 ; in %; ;36,8;98,9;21,5;45,8;12,4;9,8;1,3;2,6;0,2;5,0;0,2;1,3;0,0;0,0;
92501;Briefwahl Niederursel;0;559;556;146;283;39;30;3;25;2;22;1;2;2;1;
 ; in %; ;0,0;99,5;26,3;50,9;7,0;5,4;0,5;4,5;0,4;4,0;0,2;0,4;0,4;0,2;
92502;Briefwahl Niederursel;0;281;280;76;138;17;12;6;6;2;22;1;0;0;0;
 ; in %; ;0,0;99,6;27,1;49,3;6,1;4,3;2,1;2,1;0,7;7,9;0,4;0,0;0,0;0,0;
;Stadtteil Niederursel ges.;10.458;3.843;3.818;954;1.797;298;286;41;93;17;284;9;20;18;1;
 ; in %; ;36,7;99,3;25,0;47,1;7,8;7,5;1,1;2,4;0,4;7,4;0,2;0,5;0,5;0,0;
;;;;;;;;;;;;;;;;;
;Stadtteil Nordend-Ost;;;;;;;;;;;;;;;;
13001;Klingerschule;1.466;468;468;70;225;73;58;9;4;2;18;0;6;3;0;
 ; in %; ;35,8;100;15,0;48,1;15,6;12,4;1,9;0,9;0,4;3,8;0,0;1,3;0,6;0,0;
13002;Klingerschule;1.378;490;488;88;237;71;53;5;6;0;25;1;2;0;0;
 ; in %; ;39,6;99,6;18,0;48,6;14,5;10,9;1,0;1,2;0,0;5,1;0,2;0,4;0,0;0,0;
13003;Klingerschule;1.498;462;461;67;236;61;69;5;5;2;11;0;5;0;0;
 ; in %; ;35,7;99,8;14,5;51,2;13,2;15,0;1,1;1,1;0,4;2,4;0,0;1,1;0,0;0,0;
22101;Hans-Böckler-Schule;1.127;407;406;69;166;61;82;5;6;1;10;4;2;0;0;
 ; in %; ;40,3;99,8;17,0;40,9;15,0;20,2;1,2;1,5;0,2;2,5;1,0;0,5;0,0;0,0;
22102;Merianschule;1.408;545;545;84;239;104;72;6;5;1;24;1;6;2;1;
 ; in %; ;44,1;100;15,4;43,9;19,1;13,2;1,1;0,9;0,2;4,4;0,2;1,1;0,4;0,2;
22103;Merianschule;1.384;595;593;88;285;80;93;14;3;1;20;2;3;4;0;
 ; in %; ;48,8;99,7;14,8;48,1;13,5;15,7;2,4;0,5;0,2;3,4;0,3;0,5;0,7;0,0;
22201;IGS-Nordend;1.367;486;484;70;225;81;73;3;1;0;17;3;9;1;1;
 ; in %; ;40,0;99,6;14,5;46,5;16,7;15,1;0,6;0,2;0,0;3,5;0,6;1,9;0,2;0,2;
22202;IGS-Nordend;1.243;503;500;83;210;92;86;6;4;0;11;1;4;3;0;
 ; in %; ;46,3;99,4;16,6;42,0;18,4;17,2;1,2;0,8;0,0;2,2;0,2;0,8;0,6;0,0;
22203;Hans-Böckler-Schule;1.266;405;400;47;191;58;61;7;4;0;21;4;3;4;0;
 ; in %; ;35,2;98,8;11,8;47,8;14,5;15,3;1,8;1,0;0,0;5,3;1,0;0,8;1,0;0,0;
22204;Hans-Böckler-Schule;1.343;471;469;60;240;44;72;4;7;2;29;1;3;6;1;
 ; in %; ;39,5;99,6;12,8;51,2;9,4;15,4;0,9;1,5;0,4;6,2;0,2;0,6;1,3;0,2;
23001;Jugendhaus Heideplatz;1.528;441;439;54;213;67;78;4;2;2;17;0;2;0;0;
 ; in %; ;32,6;99,5;12,3;48,5;15,3;17,8;0,9;0,5;0,5;3,9;0,0;0,5;0,0;0,0;
23002;Christuskirche;1.405;479;476;73;226;88;70;5;1;1;9;0;2;1;0;
 ; in %; ;38,2;99,4;15,3;47,5;18,5;14,7;1,1;0,2;0,2;1,9;0,0;0,4;0,2;0,0;
23003;Klingerschule;977;279;275;34;135;46;44;3;2;1;9;0;1;0;0;
 ; in %; ;33,5;98,6;12,4;49,1;16,7;16,0;1,1;0,7;0,4;3,3;0,0;0,4;0,0;0,0;
90701;Briefwahl Nordend-Ost;0;464;462;115;198;74;46;7;3;2;10;1;3;0;3;
 ; in %; ;0,0;99,6;24,9;42,9;16,0;10,0;1,5;0,6;0,4;2,2;0,2;0,6;0,0;0,6;
90702;Briefwahl Nordend-Ost;0;413;411;100;150;83;41;11;7;2;12;0;5;0;0;
 ; in %; ;0,0;99,5;24,3;36,5;20,2;10,0;2,7;1,7;0,5;2,9;0,0;1,2;0,0;0,0;
90703;Briefwahl Nordend-Ost;0;510;508;104;222;78;63;9;7;5;15;1;4;0;0;
 ; in %; ;0,0;99,6;20,5;43,7;15,4;12,4;1,8;1,4;1,0;3,0;0,2;0,8;0,0;0,0;
90704;Briefwahl Nordend-Ost;0;434;432;105;180;63;46;8;8;1;10;0;7;3;1;
 ; in %; ;0,0;99,5;24,3;41,7;14,6;10,6;1,9;1,9;0,2;2,3;0,0;1,6;0,7;0,2;
;Stadtteil Nordend-Ost ges.;17.390;7.852;7.817;1.311;3.578;1.224;1.107;111;75;23;268;19;67;27;7;
 ; in %; ;45,2;99,6;16,8;45,8;15,7;14,2;1,4;1,0;0,3;3,4;0,2;0,9;0,3;0,1;
;;;;;;;;;;;;;;;;;
;Stadtteil Nordend-West;;;;;;;;;;;;;;;;
12001;Musterschule;1.301;516;515;121;212;72;62;10;4;4;21;1;5;2;1;
 ; in %; ;45,7;99,8;23,5;41,2;14,0;12,0;1,9;0,8;0,8;4,1;0,2;1,0;0,4;0,2;
12002;Musterschule;1.418;500;495;104;187;85;71;5;8;2;28;1;2;2;0;
 ; in %; ;40,5;99,0;21,0;37,8;17,2;14,3;1,0;1,6;0,4;5,7;0,2;0,4;0,4;0,0;
12003;Haus der Volksarbeit;1.319;427;426;96;187;53;49;8;4;1;17;1;10;0;0;
 ; in %; ;37,1;99,8;22,5;43,9;12,4;11,5;1,9;0,9;0,2;4,0;0,2;2,3;0,0;0,0;
12004;Musterschule;1.165;358;356;82;148;47;47;6;4;1;19;0;2;0;0;
 ; in %; ;35,6;99,4;23,0;41,6;13,2;13,2;1,7;1,1;0,3;5,3;0,0;0,6;0,0;0,0;
20101;Berufl. Schulen-Berta-Jourdan;1.523;552;550;114;241;88;62;2;6;2;32;1;0;1;1;
 ; in %; ;41,0;99,6;20,7;43,8;16,0;11,3;0,4;1,1;0,4;5,8;0,2;0,0;0,2;0,2;
20102;Berufl. Schulen-Berta-Jourdan;1.598;606;605;166;254;78;65;3;5;4;26;0;2;1;1;
 ; in %; ;44,4;99,8;27,4;42,0;12,9;10,7;0,5;0,8;0,7;4,3;0,0;0,3;0,2;0,2;
20201;Heinrich-Kleyer-Schule;1.663;511;510;112;256;44;40;6;13;1;33;1;2;1;1;
 ; in %; ;35,3;99,8;22,0;50,2;8,6;7,8;1,2;2,5;0,2;6,5;0,2;0,4;0,2;0,2;
20301;Berufl. Schulen-Berta-Jourdan;1.297;473;470;106;188;70;59;8;1;2;30;1;5;0;0;
 ; in %; ;42,4;99,4;22,6;40,0;14,9;12,6;1,7;0,2;0,4;6,4;0,2;1,1;0,0;0,0;
20302;Elisabethenschule Cafeteria;1.217;477;475;201;144;57;31;7;2;2;26;0;5;0;0;
 ; in %; ;47,6;99,6;42,3;30,3;12,0;6,5;1,5;0,4;0,4;5,5;0,0;1,1;0,0;0,0;
20303;Amt für Wohnungswesen;1.049;364;364;142;126;49;18;3;1;3;16;1;3;1;1;
 ; in %; ;42,7;100;39,0;34,6;13,5;4,9;0,8;0,3;0,8;4,4;0,3;0,8;0,3;0,3;
20304;Elisabethenschule Cafeteria;1.171;402;399;147;132;50;24;1;5;1;34;0;3;2;0;
 ; in %; ;41,7;99,3;36,8;33,1;12,5;6,0;0,3;1,3;0,3;8,5;0,0;0,8;0,5;0,0;
21101;AWO Nordendzentrum;1.251;395;393;78;189;52;41;3;2;4;17;2;5;0;0;
 ; in %; ;36,1;99,5;19,8;48,1;13,2;10,4;0,8;0,5;1,0;4,3;0,5;1,3;0,0;0,0;
21102;B. Schulen-Berta-Jourdan Außenst.;1.092;405;405;61;195;55;59;6;3;1;16;3;2;4;0;
