"id","stadtteil","miete"
"153","Gallus",14.269956273451085
"612","Zeilsheim-Nord",10.48387881348035
"552","Griesheim-West",9.26760448678772
"323","Sachsenhausen-Süd",14.300625415872762
"442","Dornbusch-West",13.000048285056323
"601","Sindlingen-Süd",7.949958544779488
"562","Nied-Nord",11.337016700723698
"580","Höchst-Ost",12.494033943066736
"621","Unterliederbach-Mitte",11.516338294073352
"604","Zeilsheim-Ost",11.055590461837397
"591","Höchst-Süd",9.749097809209148
"631","Sossenheim-West",10.16112046586664
"622","Unterliederbach-Ost",7.486968227888683
"632","Sossenheim-Ost",8.506110760480563
"561","Nied-Süd",10.595152762819065
"551","Griesheim-West",11.40222773754557
"541","Griesheim-Ost",12.474001871833403
"570","Höchst-West",10.088424977818718
"542","Griesheim-Ost",12.388876612990522
"602","Sindlingen-Nord",8.932760530224902
"322","Sachsenhausen-Nord",13.928597485884087
"010","Altstadt",17.89416861523015
"350","Bockenheim",13.941437209021174
"162","Gallus",16.489115730895215
"342","Bockenheim",14.339310715259074
"372","Niederrad-Süd",14.385258933065412
"165","Gallus",16.17814732613411
"470","Preungesheim",12.45232456480787
"680","Bergen-Enkheim",12.519438995067922
"251","Ostend",14.514806554320371
"110","Westend-Süd",15.197446924405138
"180","Westend-Süd",16.472292783065523
"201","Nordend-West",14.896838865264082
"332","Sachsenhausen-Süd",15.541474676227585
"212","Nordend-West",13.572407659057243
"401","Rödelheim-Ost",10.45286461095637
"163","Bockenheim",14.137590533134908
"151","Gutleutviertel",15.960147334323496
"361","Bockenheim",12.129883355322706
"441","Ginnheim",14.384799395264528
"100","Westend-Süd",15.131784616591814
"452","Eschersheim-Süd",13.362122433937046
"520","Fechenheim-Süd",11.37130590658894
"650","Kalbach",10.996251107505024
"410","Hausen",12.257419239372897
"170","Westend-Süd",15.519722961193125
"380","Oberrad",12.70537429018356
"451","Eschersheim-Nord",12.21779805036461
"510","Fechenheim-Nord",11.48329254078292
"191","Westend-Nord",14.614709026600888
"611","Zeilsheim-Süd",11.399257350106986
"481","Niederursel-Ost",12.458560690791945
"192","Westend-Nord",14.424338926319752
"080","Innenstadt",16.294517676043043
"261","Osthafen",13.628877934122375
"402","Rödelheim-West",11.35447728491374
"154","Gallus",11.89592657823389
"281","Bornheim",14.328935859879941
"090","Bahnhofsviertel",14.66267325284691
"161","Gallus",14.552767967604918
"462","Dornbusch-Ost",11.53614794927973
"461","Eckenheim",11.37675280360596
"670","Nieder-Eschbach",10.940389127645023
"324","Sachsenhausen-Nord",14.682915342602485
"120","Nordend-West",17.180558424420248
"282","Bornheim",13.109701087590555
"532","Goldstein-West",12.01051415318896
"213","Nordend-West",13.90528339398616
"140","Ostend",13.908303978573521
"660","Harheim",11.098111589342496
"390","Seckbach",10.201351173925882
"040","Innenstadt",11.456360728682842
"362","Bockenheim",12.45915914897547
"331","Sachsenhausen-Nord",14.29003602504147
"252","Ostend",13.335970062979293
"230","Nordend-Ost",14.359226929174623
"463","Dornbusch-Ost",12.9641455248123
"203","Nordend-West",14.467387539809684
"271","Bornheim",13.241437167041969
"651","Riedberg",14.396522274430678
"425","Alt-Praunheim",12.041414774538186
"341","Bockenheim",14.35442761814507
"343","Bockenheim",12.364600638231575
"130","Nordend-Ost",14.925214008521703
"211","Nordend-West",15.68465384039272
"300","Sachsenhausen-Nord",18.27817451921684
"221","Nordend-Ost",11.506996462718902
"240","Bornheim",15.412221022936365
"070","Innenstadt",19.280586267136012
"371","Niederrad-Nord",12.068786039033672
"492","Frankfurter Berg",8.065155667165753
"531","Schwanheim",13.418586555806051
"483","Riedwiese-Mertonviertel",11.530180574218528
"491","Bonames",10.820683099261997
"321","Sachsenhausen-Nord",14.633392085944857
"222","Nordend-Ost",11.658394128752498
"431","Heddernheim-Ost",14.875927589863815
"272","Bornheim",14.773904761277638
"482","Niederursel-West",12.062972706440183
"640","Nieder-Erlenbach",11.713918721600589
"500","Berkersheim",9.800308206263587
"290","Bornheim",10.405285559562614
"426","Praunheim-Nord",11.148742482158838
"164","Gallus",9.566423468612252
"202","Nordend-West",12.705778105303452
"422","Siedlung Praunheim",10.453091618918663
"326","Sachsenh.-Fritz-Kissel-Sdlg.",15.539960056799126
"432","Heddernheim-West",10.570188410548456
"424","Praunheim-Süd",10.348214285714285
"262","Riederwald",11
"423","Sdlg. Praunheim-Westhausen",13.547523200613421